Row ID,Order ID,Order Year,Order Month,Order Day,Dispatch Year,Dispatch Month,Dispatch Day,Delivery Mode,Customer ID,Customer Name,Segment,City,State/Province,Country\Region,Sales Region,Product ID,Category,Sub-Category,Discount,Product,Sales,Quantity,Profit
1,MX-2018-143658,2018,10,2,2018,10,6,Standard Class,RC-20575,Reyes Coto,Consumer,Ciudad de México,Distrito Federal,Mexico,LATAM - North,OFF-AR-10002640,Office Supplies,Art,none,"Boston Pens, Blue",130.8,3,45.6
2,CO-2016-155047,2016,10,16,2016,10,21,Standard Class,IG-16570,Iván Girón,Consumer,Dos Quebradas,Risaralda,Colombia,LATAM - South,OFF-ST-10001358,Office Supplies,Storage,none,"Rogers Folders, Wire Frame",2521.6,8,907.2
3,CO-2016-155047,2016,10,16,2016,10,21,Standard Class,IG-16570,Iván Girón,Consumer,Dos Quebradas,Risaralda,Colombia,LATAM - South,OFF-LA-10004727,Office Supplies,Labels,none,"Hon File Folder Labels, Laser Printer Compatible",1932.8,2,540.8
4,CO-2016-155047,2016,10,16,2016,10,21,Standard Class,IG-16570,Iván Girón,Consumer,Dos Quebradas,Risaralda,Colombia,LATAM - South,OFF-AR-10000751,Office Supplies,Art,none,"Boston Highlighters, Fluorescent",354.4,4,49.6
5,CO-2016-155047,2016,10,16,2016,10,21,Standard Class,IG-16570,Iván Girón,Consumer,Dos Quebradas,Risaralda,Colombia,LATAM - South,FUR-CH-10004774,Furniture,Chairs,none,"Novimex Executive Leather Armchair, Red",716,2,114.4
6,CO-2016-155047,2016,10,16,2016,10,21,Standard Class,IG-16570,Iván Girón,Consumer,Dos Quebradas,Risaralda,Colombia,LATAM - South,OFF-EN-10001991,Office Supplies,Envelopes,none,"Kraft Clasp Envelope, Set of 50",561.2,2,213.2
7,BR-2017-134096,2017,9,28,2017,10,2,Standard Class,CV-13000,Cristina Vázquez,Consumer,São Paulo,São Paulo,Brazil,LATAM - South,OFF-EN-10001991,Office Supplies,Envelopes,none,"Kraft Clasp Envelope, Set of 50",561.2,2,213.2
8,BR-2017-134096,2017,9,28,2017,10,2,Standard Class,CV-13000,Cristina Vázquez,Consumer,São Paulo,São Paulo,Brazil,LATAM - South,TEC-PH-10001163,Technology,Phones,none,"Motorola Speaker Phone, Cordless",3446.4,3,1654.2
9,BR-2017-134096,2017,9,28,2017,10,2,Standard Class,CV-13000,Cristina Vázquez,Consumer,São Paulo,São Paulo,Brazil,LATAM - South,OFF-LA-10003210,Office Supplies,Labels,none,"Novimex Color Coded Labels, 5000 Label Set",973.6,4,194.4
10,BR-2017-134096,2017,9,28,2017,10,2,Standard Class,CV-13000,Cristina Vázquez,Consumer,São Paulo,São Paulo,Brazil,LATAM - South,TEC-AC-10003403,Technology,Accessories,none,"Enermax Router, USB",3415.2,2,136.4
