Row ID,Order ID,Order Date,Dispatch Date,Delivery Mode,Customer ID,Customer Name,Segment,Country/Region,City,State/Province,Sales Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
1,US-2017-152156,11/8/2017,11/11/2017,Second Class,CG-12520,Claire Gute,Consumer,United States,Henderson,Kentucky,USCA - South,FUR-BO-10001798,Furniture,Bookcases,Bush Somerset Collection Bookcase,261.96,2,0,41.91
2,US-2017-152156,11/8/2017,11/11/2017,Second Class,CG-12520,Claire Gute,Consumer,United States,Henderson,Kentucky,USCA - South,FUR-CH-10000454,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",731.94,3,0,219.58
3,US-2017-138688,6/12/2017,6/16/2017,Second Class,DV-13045,Darrin Van Huff,Corporate,United States,Los Angeles,California,USCA - West,OFF-LA-10000240,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,14.62,2,0,6.87
14,US-2017-161389,12/5/2017,12/10/2017,Standard Class,IM-15070,Irene Maddox,Consumer,United States,Seattle,Washington,USCA - West,OFF-BI-10003656,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,407.98,3,0.2,132.59
22,US-2017-137330,12/9/2017,12/13/2017,Standard Class,KB-16585,Ken Black,Corporate,United States,Fremont,Nebraska,USCA - Central,OFF-AR-10000246,Office Supplies,Art,Newell 318,19.46,7,0,5.06
23,US-2017-137330,12/9/2017,12/13/2017,Standard Class,KB-16585,Ken Black,Corporate,United States,Fremont,Nebraska,USCA - Central,OFF-AP-10001492,Office Supplies,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length",60.34,7,0,15.69
26,US-2017-121755,1/16/2017,1/20/2017,Second Class,EH-13945,Eric Hoffmann,Consumer,United States,Los Angeles,California,USCA - West,OFF-BI-10001634,Office Supplies,Binders,Wilson Jones Active Use Binders,11.65,2,0.2,4.22
27,US-2017-121755,1/16/2017,1/20/2017,Second Class,EH-13945,Eric Hoffmann,Consumer,United States,Los Angeles,California,USCA - West,TEC-AC-10003027,Technology,Accessories,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,90.57,3,0,11.77
36,US-2017-117590,12/8/2017,12/10/2017,First Class,GH-14485,Gene Hale,Corporate,United States,Richardson,Texas,USCA - Central,TEC-PH-10004977,Technology,Phones,GE 30524EE4,1097.54,7,0.2,123.47
37,US-2017-117590,12/8/2017,12/10/2017,First Class,GH-14485,Gene Hale,Corporate,United States,Richardson,Texas,USCA - Central,FUR-FU-10003664,Furniture,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",190.92,5,0.6,-147.96
43,US-2017-101343,7/17/2017,7/22/2017,Standard Class,RA-19885,Ruben Ausman,Corporate,United States,Los Angeles,California,USCA - West,OFF-ST-10003479,Office Supplies,Storage,"Eldon Base for stackable storage shelf, platinum",77.88,2,0,3.89
45,US-2017-118255,3/11/2017,3/13/2017,First Class,ON-18715,Odella Nelson,Corporate,United States,Eagan,Minnesota,USCA - Central,TEC-AC-10000171,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",45.98,2,0,19.77
46,US-2017-118255,3/11/2017,3/13/2017,First Class,ON-18715,Odella Nelson,Corporate,United States,Eagan,Minnesota,USCA - Central,OFF-BI-10003291,Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,17.46,2,0,8.21
48,US-2017-169194,6/20/2017,6/25/2017,Standard Class,LH-16900,Lena Hernandez,Consumer,United States,Dover,Delaware,USCA - East,TEC-AC-10002167,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,45,3,0,4.95
49,US-2017-169194,6/20/2017,6/25/2017,Standard Class,LH-16900,Lena Hernandez,Consumer,United States,Dover,Delaware,USCA - East,TEC-PH-10003988,Technology,Phones,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",21.8,2,0,6.1
54,US-2017-105816,12/11/2017,12/17/2017,Standard Class,JM-15265,Janet Molinari,Corporate,United States,New York City,New York,USCA - East,OFF-FA-10000304,Office Supplies,Fasteners,Advantus Push Pins,15.26,7,0,6.26
55,US-2017-105816,12/11/2017,12/17/2017,Standard Class,JM-15265,Janet Molinari,Corporate,United States,New York City,New York,USCA - East,TEC-PH-10002447,Technology,Phones,AT&T CL83451 4-Handset Telephone,1029.95,5,0,298.69
56,US-2017-111682,6/17/2017,6/18/2017,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,USCA - East,OFF-ST-10000604,Office Supplies,Storage,Home/Office Personal File Carts,208.56,6,0,52.14
57,US-2017-111682,6/17/2017,6/18/2017,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,USCA - East,OFF-PA-10001569,Office Supplies,Paper,Xerox 232,32.4,5,0,15.55
58,US-2017-111682,6/17/2017,6/18/2017,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,USCA - East,FUR-CH-10003968,Furniture,Chairs,Novimex Turbo Task Chair,319.41,5,0.1,7.1
